"","year(Date)","states","peak","region"
"406",2010,"West.Virginia",2861,"west virginia"
"407",2010,"Wisconsin",2205,"wisconsin"
"408",2010,"Wyoming",989,"wyoming"
"409",2011,"Alabama",4632,"alabama"
"410",2011,"Alaska",4668,"alaska"
"411",2011,"Arizona",6894,"arizona"
"412",2011,"Arkansas",7529,"arkansas"
"413",2011,"California",4082,"california"
"414",2011,"Colorado",2132,"colorado"
"415",2011,"Connecticut",1939,"connecticut"
"416",2011,"Delaware",4304,"delaware"
"417",2011,"District.of.Columbia",4100,"district of columbia"
"418",2011,"Florida",2580,"florida"
"419",2011,"Georgia",3438,"georgia"
"420",2011,"Hawaii",4940,"hawaii"
"421",2011,"Idaho",4793,"idaho"
"422",2011,"Illinois",3308,"illinois"
"423",2011,"Indiana",4588,"indiana"
"424",2011,"Iowa",3157,"iowa"
"425",2011,"Kansas",2368,"kansas"
"426",2011,"Kentucky",5198,"kentucky"
"427",2011,"Louisiana",8541,"louisiana"
"428",2011,"Maine",2940,"maine"
"429",2011,"Maryland",4106,"maryland"
"430",2011,"Massachusetts",2166,"massachusetts"
"431",2011,"Michigan",3661,"michigan"
"432",2011,"Minnesota",3842,"minnesota"
"433",2011,"Mississippi",4949,"mississippi"
"434",2011,"Missouri",1902,"missouri"
"435",2011,"Montana",2415,"montana"
"436",2011,"Nebraska",3476,"nebraska"
"437",2011,"Nevada",4400,"nevada"
"438",2011,"New.Hampshire",2293,"new hampshire"
"439",2011,"New.Jersey",3297,"new jersey"
"440",2011,"New.Mexico",4793,"new mexico"
"441",2011,"New.York",3707,"new york"
"442",2011,"North.Carolina",6540,"north carolina"
"443",2011,"North.Dakota",3294,"north dakota"
"444",2011,"Ohio",3924,"ohio"
"445",2011,"Oklahoma",11288,"oklahoma"
"446",2011,"Oregon",3496,"oregon"
"447",2011,"Pennsylvania",4317,"pennsylvania"
"448",2011,"Rhode.Island",2449,"rhode island"
"449",2011,"South.Carolina",7302,"south carolina"
"450",2011,"South.Dakota",3920,"south dakota"
"451",2011,"Tennessee",6001,"tennessee"
"452",2011,"Texas",7592,"texas"
"453",2011,"Utah",1578,"utah"
"454",2011,"Vermont",2031,"vermont"
"455",2011,"Virginia",5090,"virginia"
"456",2011,"Washington",3550,"washington"
"457",2011,"West.Virginia",6824,"west virginia"
"458",2011,"Wisconsin",3086,"wisconsin"
"459",2011,"Wyoming",2050,"wyoming"
"460",2012,"Alabama",13844,"alabama"
"461",2012,"Alaska",5266,"alaska"
"462",2012,"Arizona",10286,"arizona"
"463",2012,"Arkansas",15485,"arkansas"
"464",2012,"California",6573,"california"
"465",2012,"Colorado",5347,"colorado"
"466",2012,"Connecticut",5405,"connecticut"
"467",2012,"Delaware",7377,"delaware"
"468",2012,"District.of.Columbia",7403,"district of columbia"
"469",2012,"Florida",5717,"florida"
"470",2012,"Georgia",10306,"georgia"
"471",2012,"Hawaii",4363,"hawaii"
"472",2012,"Idaho",7139,"idaho"
"473",2012,"Illinois",9751,"illinois"
"474",2012,"Indiana",7758,"indiana"
"475",2012,"Iowa",5465,"iowa"
"476",2012,"Kansas",5839,"kansas"
"477",2012,"Kentucky",9630,"kentucky"
"478",2012,"Louisiana",18256,"louisiana"
"479",2012,"Maine",7279,"maine"
"480",2012,"Maryland",9794,"maryland"
"481",2012,"Massachusetts",9788,"massachusetts"
"482",2012,"Michigan",8584,"michigan"
"483",2012,"Minnesota",13338,"minnesota"
"484",2012,"Mississippi",16749,"mississippi"
