pop,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
45741000,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,Uganda,1,3
43733759,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,Ukraine,6,8
3473727,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,Uruguay,7,9
331002647,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,United States,6,8
33469199,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,Uzbekistan,7,9
809,NA,NA,NA,NA,NA,NA,NA,NA,75.12,Vatican,6,8
110947,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,St Vincent+Grenadines,7,9
28435943,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,Venezuela,7,9
30237,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,British Virgin Isl.,6,8
104423,NA,NA,273.67,12.26,NA,NA,NA,NA,80.58,US Virgin Isl.,6,8
97338583,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,Vietnam,7,9
29825968,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,Yemen,7,9
59308690,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,South Africa,12,2
18383956,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,Zambia,4,6
14862927,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,Zimbabwe,7,9
